FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,state_descriptions,geographic_areas_code,geographic_areas_desc,CAUSES,MONTH
1996,2450310.5,228,1835.0,Debris Burning,0.1,A,46.10877922,-91.81141996,WI,Wisconsin,NR,Northern Rockies,Human,Aug
1997,2450556.5,108,,Debris Burning,2.0,B,46.876138,-95.060983,MN,Minnesota,NR,Northern Rockies,Human,Apr
2004,2453132.5,128,,Arson,2.4,B,33.47369612,-82.53037004,GA,Georgia,SA,Southern Area,Human,May
2004,2453091.5,87,1505.0,Equipment Use,0.1,A,26.167,-80.8248,FL,Florida,SA,Southern Area,Human,Mar
2001,2451933.5,24,,Debris Burning,6.0,B,35.1656,-81.8814,SC,South Carolina,SA,Southern Area,Human,Jan
2003,2452973.5,334,,Miscellaneous,0.6,B,44.19783752,-89.12232434,WI,Wisconsin,NR,Northern Rockies,Undefined,Nov
1998,2450929.5,116,,Debris Burning,1.0,B,46.819971,-95.814103,MN,Minnesota,NR,Northern Rockies,Human,Apr
1993,2449274.5,287,1000.0,Arson,0.1,A,46.47333333,-115.6416667,ID,Idaho,GB,Great Basin,Human,Oct
1995,2449906.5,189,,Children,2.0,B,48.72875,-119.44185,WA,Washington,NW,Northwest,Human,Jul
2001,2452128.5,219,1507.0,Lightning,0.1,A,33.85194444,-116.6752778,CA,California,CA,California,Lightning,Aug
1995,2449922.5,205,1600.0,Smoking,0.1,A,47.59119,-124.36609,WA,Washington,NW,Northwest,Human,Jul
2001,2451977.5,68,,Debris Burning,1.0,B,34.6333,-79.9333,SC,South Carolina,SA,Southern Area,Human,Mar
1998,2450864.5,51,,Miscellaneous,0.1,A,31.8408,-81.5925,GA,Georgia,SA,Southern Area,Undefined,Feb
1999,2451243.5,65,,Debris Burning,2.5,B,36.105,-80.4617,NC,North Carolina,,National,Human,Mar
2007,2454242.5,142,,Children,1.0,B,28.24471998,-81.14889002,FL,Florida,SA,Southern Area,Human,May
