FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,state_descriptions,geographic_areas_code,geographic_areas_desc,CAUSES,MONTH
2001,2452099.5,190,,Missing/Undefined,0.1,A,45.26522222,-69.60063889,ME,Maine,,National,Undefined,Jul
2007,2454219.5,119,1300.0,Campfire,0.25,A,46.23777778,-88.76694444,MI,Michigan,NR,Northern Rockies,Human,Apr
2002,2452420.5,146,,Debris Burning,1.0,B,46.8665368,-95.44528496,MN,Minnesota,NR,Northern Rockies,Human,May
1997,2450545.5,97,1549.0,Debris Burning,2.0,B,38.86606083,-91.14045321,MO,Missouri,SA,Southern Area,Human,Apr
1995,2449965.5,248,1230.0,Miscellaneous,1.0,B,32.66666669,-89.505284,MS,Mississippi,SA,Southern Area,Undefined,Sep
2001,2452226.5,317,1509.0,Children,0.1,A,48.4667,-108.734,MT,Montana,RM,Rocky Mountain,Human,Nov
1994,2449362.5,10,,Miscellaneous,0.1,A,35.155,-81.0017,NC,North Carolina,,National,Undefined,Jan
1998,2450938.5,125,2345.0,Arson,5.0,B,48.0083,-98.7921,ND,North Dakota,NR,Northern Rockies,Human,May
2008,2454559.5,94,,Debris Burning,0.5,B,41.76209,-99.1396,NE,Nebraska,SA,Southern Area,Human,Apr
1995,2449953.5,236,1000.0,Campfire,0.1,A,44.00833333,-71.23833333,NH,New Hampshire,,National,Human,Aug
1994,2449434.5,82,,Arson,1.0,B,39.57083,-74.87083,NJ,New Jersey,,National,Human,Mar
